model,vectorizer,accuracy,precision,recall,f1,train_time_s,best_params
ComplementNB,CountVectorizer,0.8491,0.8534,0.8491,0.8487,0.0,
LogisticReg,CountVectorizer,0.8429,0.8436,0.8429,0.8428,2.9,
SVM (Linear),CountVectorizer,0.8267,0.8272,0.8267,0.8267,7.6,
DecisionTree,CountVectorizer,0.7962,0.8074,0.7962,0.7945,4.1,
RandomForest,CountVectorizer,0.8487,0.853,0.8487,0.8483,49.5,
KNN,CountVectorizer,0.7686,0.7752,0.7686,0.7671,15.1,
AdaBoost,CountVectorizer,0.8051,0.82,0.8051,0.803,9.5,
ComplementNB,TF-IDF,0.8462,0.8525,0.8462,0.8456,0.0,
LogisticReg,TF-IDF,0.8554,0.859,0.8554,0.8551,2.3,
SVM (Linear),TF-IDF,0.8449,0.8467,0.8449,0.8448,1.0,
DecisionTree,TF-IDF,0.7988,0.8148,0.7988,0.7963,5.2,
RandomForest,TF-IDF,0.8446,0.8503,0.8446,0.844,41.7,
KNN,TF-IDF,0.7979,0.7999,0.7979,0.7976,13.4,
AdaBoost,TF-IDF,0.7957,0.8167,0.7957,0.7924,21.6,
GaussianNB,Word2Vec,0.802,0.8251,0.802,0.7985,0.1,
LogisticReg,Word2Vec,0.8397,0.8427,0.8397,0.8394,1.5,
SVM (Linear),Word2Vec,0.8392,0.8421,0.8392,0.8389,3.2,
DecisionTree,Word2Vec,0.7475,0.7476,0.7475,0.7475,7.5,
RandomForest,Word2Vec,0.8344,0.8419,0.8344,0.8336,12.8,
KNN,Word2Vec,0.8185,0.8227,0.8185,0.818,2.9,
AdaBoost,Word2Vec,0.8217,0.8244,0.8217,0.8214,65.9,
HistGradBoost,Word2Vec,0.8381,0.8417,0.8381,0.8377,1.4,
ComplementNB,Hybrid,0.8416,0.8489,0.8416,0.8408,0.1,
LogisticReg,Hybrid,0.8565,0.8589,0.8565,0.8563,2.2,
SVM (Linear),Hybrid,0.8464,0.848,0.8464,0.8463,5.7,
GaussianNB,Word2Vec-IDF,0.7855,0.8088,0.7855,0.7816,0.1,
LogisticReg,Word2Vec-IDF,0.8315,0.8345,0.8315,0.8311,1.5,
SVM (Linear),Word2Vec-IDF,0.8315,0.8344,0.8315,0.8312,3.4,
HistGradBoost,Word2Vec-IDF,0.8285,0.8318,0.8285,0.8281,1.9,
ComplementNB (tuned),CountVectorizer,0.8505,0.8545,0.8505,0.8501,2.6,{'alpha': 1.0}
SVM (Linear) (tuned),Hybrid,0.8578,0.862,0.8578,0.8574,14.3,{'C': 0.05}
LogisticReg (tuned),Hybrid,0.8569,0.8602,0.8569,0.8566,9.1,{'C': 0.5}
